ID_Reclamo,Fecha,Cliente,Pais_Destino,Fruta,Calibre,Contenedor,Tipo_Reclamo,Severidad,Cantidad_Kg,Valor_Reclamado,Moneda,Estado,Dias_Resolucion,Causa_Raiz
REC-2025052,2025-10-06,Mediterranean Foods ES,Espana,Naranja Valencia,72,CONT-2703,Dano mecanico,Media,634,470.95,USD,Resuelto,5,Transporte inadecuado
REC-2025032,2025-10-07,FreshDirect USA,USA,Naranja Valencia,56,CONT-7919,Madurez prematura,Media,611,232.42,USD,Pendiente,0,Error en seleccion
REC-2025029,2025-10-08,Citrus World NL,Paises Bajos,Limon Tahiti,48,CONT-8479,Fruta con manchas,Baja,1098,1313.34,USD,Pendiente,0,Transporte inadecuado
REC-2025039,2025-10-08,La 14,Colombia,Limon Tahiti,36,CONT-5295,Dano mecanico,Alta,198,424.08,COP,En proceso,11,Transporte inadecuado
REC-2025079,2025-10-18,TropiFruit UK,Reino Unido,Limon Tahiti,48,CONT-4695,Calibre inconsistente,Alta,1124,151.6,USD,Resuelto,10,Error en seleccion
REC-2025056,2025-10-19,TropiFruit UK,Reino Unido,Naranja Valencia,88,CONT-6145,Temperatura contenedor,Alta,928,921.79,USD,Resuelto,15,Manejo postcosecha
REC-2025017,2025-10-23,Frutas del Pacifico,Colombia,Naranja Valencia,100,CONT-9281,Peso incorrecto,Media,1255,2519.09,COP,Resuelto,6,Error en seleccion
REC-2025054,2025-10-23,Super Inter,Colombia,Naranja Valencia,56,CONT-2020,Temperatura contenedor,Baja,370,479.46,COP,Pendiente,0,Almacenamiento prolongado
REC-2025072,2025-10-23,TropiFruit UK,Reino Unido,Limon Tahiti,40,CONT-8157,Madurez prematura,Alta,1197,554.43,USD,Resuelto,23,Manejo postcosecha
REC-2025010,2025-10-27,Global Citrus Trading,Emiratos Arabes,Limon Tahiti,54,CONT-3858,Etiquetado erroneo,Alta,1422,1653.24,USD,Resuelto,13,Transporte inadecuado
REC-2025016,2025-10-27,Carulla,Colombia,Naranja Valencia,64,CONT-4065,Pudricion,Baja,1568,3561.54,COP,Pendiente,0,Plaga en campo
REC-2025023,2025-10-27,Jumbo,Colombia,Naranja Valencia,72,CONT-5380,Etiquetado erroneo,Baja,1714,1648.67,COP,Pendiente,0,Almacenamiento prolongado
REC-2025034,2025-10-27,Carulla,Colombia,Naranja Valencia,64,CONT-3480,Temperatura contenedor,Baja,1134,1326.0,COP,Pendiente,0,Cadena de frio rota
REC-2025011,2025-10-29,TropiFruit UK,Reino Unido,Naranja Valencia,88,CONT-1478,Residuos de agroquimicos,Baja,1151,790.27,USD,Resuelto,7,Cadena de frio rota
REC-2025065,2025-10-29,FreshDirect USA,USA,Naranja Valencia,100,CONT-4588,Fruta con manchas,Baja,1957,690.3,USD,Pendiente,0,Error de empaque
REC-2025070,2025-10-31,Mediterranean Foods ES,Espana,Limon Tahiti,42,CONT-3907,Pudricion,Alta,412,384.9,USD,Resuelto,4,Almacenamiento prolongado
REC-2025041,2025-11-01,Mediterranean Foods ES,Espana,Limon Tahiti,54,CONT-6353,Temperatura contenedor,Media,1920,1698.92,USD,En proceso,5,Transporte inadecuado
REC-2025073,2025-11-03,TropiFruit UK,Reino Unido,Limon Tahiti,54,CONT-3872,Fruta con manchas,Alta,828,613.8,USD,En proceso,5,Error en seleccion
REC-2025046,2025-11-07,Mediterranean Foods ES,Espana,Limon Tahiti,54,CONT-2889,Dano mecanico,Media,56,60.08,USD,Resuelto,2,Plaga en campo
REC-2025021,2025-11-08,Jumbo,Colombia,Limon Tahiti,48,CONT-2923,Dano mecanico,Media,1857,3661.13,COP,Pendiente,0,Error de empaque
REC-2025012,2025-11-10,Mediterranean Foods ES,Espana,Limon Tahiti,54,CONT-2667,Etiquetado erroneo,Alta,849,604.31,USD,Resuelto,28,Plaga en campo
REC-2025053,2025-11-10,Citrus World NL,Paises Bajos,Limon Tahiti,40,CONT-9515,Temperatura contenedor,Media,963,1133.55,USD,Resuelto,4,Error de empaque
REC-2025030,2025-11-13,TropiFruit UK,Reino Unido,Naranja Valencia,56,CONT-6905,Presencia de plagas,Alta,1678,1483.39,USD,Resuelto,21,Manejo postcosecha
REC-2025069,2025-11-14,TropiFruit UK,Reino Unido,Naranja Valencia,56,CONT-2478,Fruta con manchas,Alta,586,453.45,USD,Resuelto,30,Error de empaque
REC-2025033,2025-11-15,Jumbo,Colombia,Naranja Valencia,64,CONT-7270,Madurez prematura,Baja,1709,1565.96,COP,En proceso,10,Transporte inadecuado
REC-2025038,2025-11-15,TropiFruit UK,Reino Unido,Naranja Valencia,100,CONT-7895,Pudricion,Media,473,342.41,USD,Pendiente,0,Error en seleccion
REC-2025076,2025-11-15,TropiFruit UK,Reino Unido,Limon Tahiti,40,CONT-2453,Madurez prematura,Alta,887,412.64,USD,En proceso,7,Error en seleccion
REC-2025080,2025-11-15,TropiFruit UK,Reino Unido,Limon Tahiti,42,CONT-2715,Calibre inconsistente,Alta,900,219.07,USD,En proceso,6,Error en seleccion
REC-2025028,2025-11-18,Makro,Colombia,Limon Tahiti,54,CONT-8951,Pudricion,Baja,1918,1684.2,COP,En proceso,14,Plaga en campo
REC-2025066,2025-11-20,Mediterranean Foods ES,Espana,Limon Tahiti,40,CONT-2640,Dano mecanico,Media,703,727.36,USD,Pendiente,0,Error en seleccion
