Prospecto,Pais,Contacto,Fruta,Volumen_Ton_Mes,Valor_Anual_USD_k,Etapa,Certificacion_Requerida,Proximo_Paso,Fecha_Cierre_Estimada,Probabilidad_%
Frudelca,Colombia,Laura Hernandez,Limon Tahiti,150,2350,Alianza estrategica,HACCP,Negociar terminos,2026-01-11,50
LimeFresh Inc,USA,Laura Martinez,Limon Tahiti,200,2420,Contacto inicial,GlobalGAP,Enviar muestras,2026-02-13,15
Citrus Europe BV,Paises Bajos,Diego Hernandez,Limon Tahiti,180,2998,Propuesta enviada,USDA Organic,Enviar muestras,2026-02-05,35
Al Rajhi Foods,Arabia Saudita,Maria Rodriguez,Limon Tahiti,120,1240,Negociacion,BRC,Firmar contrato,2026-03-07,55
Fresh4U Ltd,Reino Unido,Carlos Garcia,Naranja Valencia,100,982,Contacto inicial,USDA Organic,Firmar contrato,2026-01-18,15
Rewe Group,Alemania,Maria Rodriguez,Naranja Valencia,250,4172,Propuesta enviada,ICA Export,Revisar certificaciones,2026-02-14,35
Carrefour LATAM,Brasil,Andrea Rodriguez,Limon Tahiti,300,5135,Negociacion,ICA Export,Enviar muestras,2026-03-24,55
MercaFresh,Chile,Andrea Lopez,Naranja Valencia,80,1017,Contacto inicial,Rainforest Alliance,Visita a planta,2025-12-22,15
Loblaws,Canada,Andrea Garcia,Limon Tahiti,150,1772,Due diligence,Rainforest Alliance,Visita a planta,2026-01-01,70
Gulf Citrus Trading,Emiratos Arabes,Juan Hernandez,Limon Tahiti,200,2024,Propuesta enviada,BRC,Firmar contrato,2025-11-29,35
Conaprole Frutas,Uruguay,Maria Torres,Naranja Valencia,60,749,Contacto inicial,Ninguna especial,Enviar cotizacion,2026-04-04,15
JBS Frutas,Brasil,Carlos Hernandez,Limon Tahiti,180,1820,Negociacion,Rainforest Alliance,Revisar certificaciones,2026-03-18,55
Whole Foods,USA,Andrea Hernandez,Limon Tahiti,250,3843,Due diligence,Rainforest Alliance,Negociar terminos,2026-01-04,70
Albert Heijn,Paises Bajos,Andrea Martinez,Naranja Valencia,120,1232,Propuesta enviada,BRC,Firmar contrato,2025-11-13,35
Migros,Suiza,Diego Hernandez,Limon Tahiti,90,1545,Contacto inicial,BRC,Negociar terminos,2025-12-12,15
Cencosud,Colombia,Maria Rodriguez,Naranja Valencia,200,2210,Contrato firmado,USDA Organic,Llamada de seguimiento,2025-12-24,95
D1,Colombia,Carlos Garcia,Limon Tahiti,350,4605,Contrato firmado,HACCP,Enviar cotizacion,2025-12-26,95
Ara,Colombia,Laura Lopez,Limon Tahiti,180,2989,Negociacion,ICA Export,Visita a planta,2025-11-22,55
Tottus,Peru,Maria Rodriguez,Limon Tahiti,100,1427,Propuesta enviada,Ninguna especial,Visita a planta,2026-01-14,35
SuperMaxi,Ecuador,Diego Rodriguez,Naranja Valencia,70,1211,Contacto inicial,GlobalGAP,Revisar certificaciones,2026-04-04,15
Freshmark SA,Sudafrica,Diego Rodriguez,Limon Tahiti,150,1582,Contacto inicial,USDA Organic,Llamada de seguimiento,2026-03-30,15
Zespri Citrus,Nueva Zelanda,Diego Hernandez,Limon Tahiti,80,1278,Contacto inicial,GlobalGAP,Enviar muestras,2026-03-29,15
Metro AG,Alemania,Maria Martinez,Limon Tahiti,200,3377,Propuesta enviada,ICA Export,Enviar cotizacion,2026-01-11,35
Grupo Exito Export,Colombia,Andrea Torres,Naranja Valencia,300,4104,Negociacion,Ninguna especial,Enviar cotizacion,2025-11-14,55
PriceSmart Export,Panama,Carlos Martinez,Limon Tahiti,120,1558,Due diligence,Ninguna especial,Negociar terminos,2026-02-15,70
Walmart Mexico,Mexico,Maria Rodriguez,Limon Tahiti,400,6829,Contacto inicial,ICA Export,Firmar contrato,2026-01-04,15
Frutas Montecito,Costa Rica,Maria Torres,Naranja Valencia,60,816,Contacto inicial,ICA Export,Visita a planta,2025-11-10,15
La Colonia,Honduras,Juan Martinez,Limon Tahiti,50,611,Propuesta enviada,BRC,Enviar cotizacion,2025-11-30,35
Distribuidora Tropico,Rep. Dominicana,Carlos Lopez,Limon Tahiti,90,1091,Negociacion,HACCP,Enviar cotizacion,2026-01-26,55
Aldi Sud,Alemania,Juan Torres,Limon Tahiti,300,3930,Contacto inicial,HACCP,Enviar muestras,2025-12-23,15
